event_id,ticker,event_date,announcement_type,firm_size_log,firm_size_source,sector,sector_source,alpha,beta,CAR_short,CAR_long,sector_binary
0001104659-26-006014:tm263891d1_ex99-1.htm,DVLT,2026-01-23,M&A,19.489047575485408,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.012750180923683654,3.027715108702659,-0.20494872260423266,-0.3933026192191849,Technology
0001883085-25-000157:projectprism_closingpr.htm,PGY,2025-07-28,R&D,21.19801817321435,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.006823817598742346,2.15975344653006,-0.03480485916912668,-0.013769047610178602,Technology
0001493152-26-027213:ex99-1.htm,AMCI,2026-06-04,M&A,18.384870005421494,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.012454541633578316,2.0451335986984844,-0.1397665129694478,-0.299018822182668,Technology
0001213900-26-018806:ea027771301ex2-1_serve.htm,SERV,2026-02-20,M&A,19.823663397662475,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.0011260574879913498,4.346222286763892,0.071446471666124,0.1554977979852587,Non-Technology
0001288847-25-000194:five9q22025investorprese.htm,FIVN,2025-08-22,R&D,21.468186916385065,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.002821447568787248,1.7429083428671786,-0.014374095248973581,-0.1659664324300307,Technology
0001828791-26-000029:dsp-20260414xexx991.htm,DSP,2026-04-15,M&A,20.46492858915205,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.0006894262680098033,2.284644170070358,-0.05391806462688008,-0.13012918317355296,Technology
0001193125-25-258690:mstr-ex99_1.htm,MSTR,2025-10-30,R&D,24.251888918167534,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.0014451769511712054,1.824807639943888,-0.00823567518287429,-0.297543217139181,Technology
0001877939-25-000126:exhibit991december82025.htm,CTM,2025-12-09,partnership,18.034509663237138,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.0017129444572785777,2.113210690353685,-0.0844506610033586,-0.1414446821312373,Technology
0001213900-24-073909:ea021290901ex99-1_datchat.htm,MYSE,2024-08-29,M&A,16.21017032944153,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.004469422508017901,1.319333715030916,-0.06925179072119846,-0.12095031606230816,Technology
0001213900-25-021805:ea023314001ex99-1_gdculture.htm,GDC,2025-03-07,M&A,15.760415058667604,Direct gap-fill (yfinance),Communication Services,Direct gap-fill (yfinance),0.013494172867768954,-0.25630990870587683,0.027415420640529778,-0.08372316725225054,Technology
0001999371-25-020361:ex99-01.htm,TNXP,2025-12-16,R&D,18.887977111870956,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),-0.004335902243250502,4.977154082679915,-0.09474665847584973,0.002107502995469468,Non-Technology
0001193125-25-071399:d949067dex991.htm,NPCE,2025-04-02,partnership,19.90107633621073,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),0.00421618838255431,1.6784895505047266,0.07941193091336872,0.06173271685655006,Non-Technology
0001104659-26-001093:xbp-20260106xex99d1.htm,XBP,2026-01-06,R&D,17.331720325760973,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.00028694726921834994,0.8327352526896028,0.0049716020265362475,-0.029944221782770425,Technology
0001104659-25-034992:tm2511737d2_ex99-1.htm,KULR,2025-04-15,partnership,18.62428657495944,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.02006202042646212,1.9822022815350993,-0.1077127341916535,-0.8787109805440187,Technology
0001213900-25-082976:ea025547401ex99-1_ondas.htm,ONDS,2025-09-02,partnership,22.17443246350505,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.002944010411080047,1.848768692020408,0.009332781098658004,0.5938057117698471,Technology
0001493152-25-014728:ex99-1.htm,YYAI,2025-09-24,partnership,11.747420345478977,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.02510904691604169,1.127007476202572,-0.20342181483403643,-2.5609926124236306,Technology
0000950103-26-011104:dp250511_ex1001.htm,SNBRQ,2026-07-23,M&A,13.041109937089736,Direct gap-fill (yfinance),Consumer Cyclical,Direct gap-fill (yfinance),-0.01435339944817272,2.0235587791079754,0.5374691102479481,0.23010360317098544,Non-Technology
0001437749-25-038280:ex_900620.htm,IPDN,2025-12-18,M&A,15.26560472994247,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),0.024474832794669332,-1.1391282354257095,-0.19493299586965168,-0.9993878678875132,Non-Technology
